1,2008-12-31 15:05:45,2013-12-29 09:53:35,Donald,Becton,2275 Washburn Street,Oakland,CA,94656,5104529635,2013-12-27 15:01:36,2013-12-27 15:01:36
2,2008-10-31 01:29:51,\N,Donna,Jones,3885 Elliott Street,Santa Rosa,CA,94978,7072247159,2013-12-27 15:01:36,2013-12-27 15:01:36
3,2008-12-14 00:49:06,\N,Dorthy,Chalmers,4073 Whaley Lane,Santa Rosa,CA,94922,7079781240,2013-12-27 15:01:36,2013-12-27 15:01:36
4,2008-12-13 02:07:05,2014-01-10 21:53:21,Leila,Spencer,1447 Ross Street,San Francisco,CA,94041,4158217430,2013-12-27 15:01:36,2013-12-27 15:01:36
5,2008-11-30 02:25:21,\N,Anita,Laughlin,2767 Hill Street,Palo Alto,CA,94318,6502067779,2013-12-27 15:01:36,2013-12-27 15:01:36
6,2008-11-24 11:36:04,2013-11-15 05:45:12,Stevie,Bridge,3977 Linda Street,Oakland,CA,94582,5108901056,2013-12-27 15:01:36,2013-12-27 15:01:36
7,2008-10-27 07:26:20,2014-01-24 14:22:01,David,Eggers,2109 Ross Street,San Mateo,CA,94491,6507374701,2013-12-27 15:01:36,2013-12-27 15:01:36
8,2008-12-28 04:01:30,\N,Dorothy,Koopman,1985 Pratt Avenue,Sacramento,CA,94241,9168437127,2013-12-27 15:01:36,2013-12-27 15:01:36
9,2008-11-30 07:39:59,2014-02-19 16:24:26,Kara,Kohl,235 Fort Street,Oakland,CA,94697,5100122856,2013-12-27 15:01:36,2013-12-27 15:01:36
10,2008-11-07 21:04:07,2013-06-24 06:16:28,Diane,Nelson,921 Sardis Sta,Santa Rosa,CA,94966,7072839759,2013-12-27 15:01:36,2013-12-27 15:01:36
11,2008-10-30 00:45:28,\N,Robert,Fisher,3710 Heliport Loop,Oakland,CA,94519,5102442983,2013-12-27 15:01:36,2013-12-27 15:01:36
12,2008-11-28 03:19:47,\N,Marcia,Roberts,3616 Augusta Park,San Francisco,CA,94053,4152337891,2013-12-27 15:01:36,2013-12-27 15:01:36
13,2008-10-25 00:31:02,\N,Andres,Cruse,518 John Daniel Drive,Oakland,CA,94541,5107917464,2013-12-27 15:01:36,2013-12-27 15:01:36
14,2008-11-21 01:58:48,\N,Ann,Moore,4984 Buena Vista Avenue,Sacramento,CA,94277,9165370435,2013-12-27 15:01:36,2013-12-27 15:01:36
15,2008-11-07 08:55:10,2013-12-08 22:44:29,Joseph,Lackey,3977 Snowbird Lane,Palo Alto,CA,94360,6508728972,2013-12-27 15:01:36,2013-12-27 15:01:36
16,2008-11-19 22:59:38,\N,Sarah,Duvall,4875 Essex Court,Sacramento,CA,94224,9166510273,2013-12-27 15:01:36,2013-12-27 15:01:36
17,2008-12-12 01:11:29,\N,Lucy,Corley,4834 Brown Street,Santa Rosa,CA,94971,7070866590,2013-12-27 15:01:36,2013-12-27 15:01:36
18,2008-12-22 22:16:17,2012-12-06 07:19:28,Roland,Crawford,2951 Allison Avenue,San Mateo,CA,94489,6508378017,2013-12-27 15:01:36,2013-12-27 15:01:36
19,2008-11-07 03:24:55,\N,Leona,Bray,364 Romrog Way,San Mateo,CA,94438,6508431953,2013-12-27 15:01:36,2013-12-27 15:01:36
20,2008-10-30 17:52:49,\N,Forrest,Becker,4211 Lightning Point Drive,Berkeley,CA,94739,5107989371,2013-12-27 15:01:36,2013-12-27 15:01:36
21,2008-12-19 04:49:00,2011-10-23 17:15:40,Michele,Bellows,4043 Poplar Street,San Francisco,CA,94093,4156402524,2013-12-27 15:01:36,2013-12-27 15:01:36
22,2008-11-26 15:45:22,\N,Brittany,Bowie,2962 Berkshire Circle,Sacramento,CA,94274,9169445635,2013-12-27 15:01:36,2013-12-27 15:01:36
23,2008-11-25 07:42:10,\N,Emily,Alsup,31 Duffy Street,Palo Alto,CA,94397,6500757241,2013-12-27 15:01:36,2013-12-27 15:01:36
24,2008-11-04 17:01:30,2014-02-16 05:52:10,Gwendolyn,Waters,4030 Leisure Lane,Oakland,CA,94545,5101839327,2013-12-27 15:01:36,2013-12-27 15:01:36
25,2008-10-21 20:17:12,\N,Richard,Adams,593 Linden Avenue,Richmond,CA,94858,5106907991,2013-12-27 15:01:36,2013-12-27 15:01:36
26,2008-12-09 18:50:00,\N,Larae,Petit,2548 Terra Street,Oakland,CA,94578,5107882462,2013-12-27 15:01:36,2013-12-27 15:01:36
27,2008-10-24 03:36:44,\N,Sheri,Jacobsen,2909 Watson Street,Richmond,CA,94838,5107335875,2013-12-27 15:01:36,2013-12-27 15:01:36
28,2008-12-14 14:18:55,\N,Victoria,Jones,2344 Monroe Avenue,Oakland,CA,94535,5104819697,2013-12-27 15:01:36,2013-12-27 15:01:36
29,2008-12-16 08:41:24,\N,Lynn,Elsner,2700 Spinnaker Lane,Oakland,CA,94642,5108006286,2013-12-27 15:01:36,2013-12-27 15:01:36
30,2008-12-29 05:21:07,\N,Angela,Young,4110 American Drive,Sacramento,CA,94206,9162723454,2013-12-27 15:01:36,2013-12-27 15:01:36
31,2008-11-19 20:29:40,2013-12-09 15:10:35,Brent,Bean,3268 Bond Street,Sacramento,CA,94266,9160192773,2013-12-27 15:01:36,2013-12-27 15:01:36
32,2008-12-18 17:20:40,2014-02-20 17:07:19,Linda,Vaught,2621 May Street,Santa Rosa,CA,94952,7070628772,2013-12-27 15:01:36,2013-12-27 15:01:36
33,2008-11-30 16:56:06,\N,Marcia,Prince,2681 Rivendell Drive,Santa Rosa,CA,94913,7070111827,2013-12-27 15:01:36,2013-12-27 15:01:36
